T_cells_follicular_helper	Dppa4	0.532881626365282	0.000334674364882883
T_cells_follicular_helper	Ctla4	0.505286786614614	0.00075280513995542
T_cells_follicular_helper	Cxcl1	0.543845253064941	0.000237781724203901
Monocytes	H2-Bl	-0.522051859896898	0.000463838500430063
Macrophages_M0	Tmco1	0.604306496782516	2.86497147776291e-05
Macrophages_M0	Fam136a	0.578133644120868	7.53743167701715e-05
Macrophages_M0	Dusp13	-0.555597647780096	0.000162656779252261
Macrophages_M0	Gmpr2	0.505958548869517	0.000738688197437609
Macrophages_M0	Plxdc1	-0.536404857737282	0.000300242526400461
Macrophages_M2	Dram1	0.545776636109446	0.000223612426650526
Macrophages_M2	Slc15a3	0.599202583232801	3.48287901194976e-05
Macrophages_M2	Plxdc1	0.515082207452449	0.0005690029652913
