organism	bases	CDS	tRNA	rRNA	tmRNA
Bacillus	4173431	4279	87	30	1
Bacillus	4084795	4034	86	30	1
Bacillus	4194929	4193	87	30	1
Bacillus	4207047	4213	87	30	1
Bacillus	4195012	4204	87	30	1
Bacillus	4192623	4203	87	30	1
Bacillus	4192790	4203	87	30	1
Bacillus	4190030	4197	87	30	1
Bacillus	4194343	4210	87	30	1
Bacillus	4217110	4246	78	27	1
Bacillus	4299840	4312	89	30	1
Bacillus	4089676	4042	86	30	1
Bacillus	4125350	4291	88	30	1
Bacillus	4436683	4658	87	30	1
Bacillus	3593163	3685	55	4	1
Bacillus	4220637	4214	87	33	1
Bacillus	4190773	4376	88	30	1
Bacillus	4178076	4373	81	25	1
Bacillus	4264477	4249	86	30	1
Bacillus	4233040	4207	86	30	1
Bacillus	4094338	4026	86	30	1
Bacillus	4402437	4651	88	31	1
Bacillus	4160635	4146	86	30	1
Bacillus	4215549	4212	87	30	1
Bacillus	4215560	4213	87	30	1
Bacillus	4215582	4212	87	30	1
Bacillus	4215563	4213	87	30	1
Bacillus	4189359	4373	88	30	1
Bacillus	4218183	4192	86	30	1
Bacillus	4058498	3973	86	27	1
Bacillus	4083407	3971	87	30	1
Bacillus	4088626	4040	86	33	1
Bacillus	4151624	4100	92	33	1
Bacillus	4040032	3950	86	30	1
Bacillus	4086149	4008	86	33	1
Bacillus	4145998	4105	86	30	1
Bacillus	4145939	4111	86	30	1
Bacillus	4288724	4322	86	30	1
Bacillus	4187767	4377	88	30	1
Bacillus	4036899	3950	86	30	1
Bacillus	4184352	4374	88	27	1
Bacillus	4030831	3949	86	30	1
Bacillus	4195652	4384	88	30	1
Bacillus	4090549	3981	86	30	1
Bacillus	4090548	3978	86	30	1
Bacillus	4147684	4129	87	30	1
Bacillus	4090549	3981	86	30	1
Bacillus	4118975	4283	88	30	1
Bacillus	4106342	4068	86	30	1
Bacillus	4050098	4213	87	30	1
Bacillus	4190775	4377	88	30	1
Bacillus	4215585	4219	87	30	1
Bacillus	4243381	4239	86	30	1
Bacillus	4125816	4289	87	30	1
Bacillus	4148036	4119	87	30	1
Bacillus	4215167	4215	87	30	1
Bacillus	4011967	3945	86	30	1
Bacillus	4183844	4368	88	30	1
Bacillus	4094409	4044	86	30	1
Bacillus	4262664	4430	89	30	1
Bacillus	4271214	4256	86	30	1
Bacillus	4030869	3949	86	30	1
Bacillus	4085561	4189	87	30	1
Bacillus	4175498	4102	88	30	1
Bacillus	4175500	4103	88	30	1
Bacillus	4071539	3982	86	30	1
Bacillus	4030808	3960	86	30	1
Bacillus	4049856	4179	88	30	1
Bacillus	4356867	4413	86	30	1
Bacillus	4217848	4216	87	30	1
Bacillus	4060823	3996	86	30	1
Bacillus	4269301	4417	87	27	1
Bacillus	4273859	4263	86	30	1
Bacillus	4017503	4226	83	10	1
Bacillus	4306106	4332	86	30	1
Bacillus	4110203	4273	87	30	1
Bacillus	3412542	3418	87	30	1
Bacillus	3468246	3441	87	30	1
Bacillus	3367150	3364	87	30	1
Bacillus	3323722	3318	86	30	1
Bacillus	3523337	3495	87	30	1
Bacillus	3601369	3575	87	30	1
Bacillus	3684279	3657	87	30	1
Bacillus	3765159	3733	87	30	1
Bacillus	3853702	3767	87	30	1
Bacillus	3981853	3888	87	30	1
Bacillus	4248845	4253	87	30	1
Bacillus	4215636	4216	87	30	1
Bacillus	4295123	4313	89	30	
Bacillus	4113758	4075	87	30	1
Bacillus	4140503	4191	87	30	1
Bacillus	4278389	4348	93	33	1
Bacillus	4213436	4243	78	24	1
Bacillus	4044377	4101	86	30	1
Bacillus	4140551	4127	87	30	1
Bacillus	4299854	4342	89	30	1
Bacillus	4100917	4079	86	30	1
Bacillus	4177304	4159	87	30	1
Bacillus	4163183	4128	86	30	1
Bacillus	4268843	4494	87	27	1
Bacillus	4331506	4410	72	24	1
Bacillus	4215653	4218	87	30	1
Bacillus	4090469	4008	88	30	1
Bacillus	4090469	4008	88	30	1
Bacillus	4085814	4003	88	30	1
Bacillus	4237328	4273	87	27	1
Bacillus	4189350	4373	88	30	1
Bacillus	4211563	4392	88	30	1
Bacillus	4103568	4219	86	30	1
Bacillus	4299632	4308	89	30	1
Bacillus	4227198	4241	86	30	1
Bacillus	3982436	3919	72	21	1
Bacillus	4195306	4152	86	30	1
Bacillus	3908079	3953	87	30	1
Bacillus	4092273	4043	80	27	1
Bacillus	4059376	3997	86	30	1
