OTUID	E11P11A02	E11P11A03	E11P11A04	E11P11A05	E11P11A06	E11P11A07	E11P11A10	E11P11B02	E11P11B03	E11P11B04	E11P11B05	E11P11B06	E11P11B11	E11P11B12	E11P11BO1	E11P11C02	E11P11C03	E11P11C04	E11P11C05	E11P11C07	E11P11C08	E11P11D01	E11P11D02	E11P11D03	E11P11D04	E11P11D05	E11P11D09	E11P11D11	E11P11E01	E11P11E02	E11P11E04	E11P11E07	E11P11E08	E11P11E09	E11P11E10	E11P11E12	E11P11F01	E11P11F04	E11P11F06	E11P11F07	E11P11G01	E11P11G02	E11P11G03	E11P11G04	E11P11G05	E11P11G06	E11P11G09	E11P11H01	E11P11H02	E11P11H03	E11P11H04	E11P11H07	E11P11H08	E11P11H12	E12P12C07	E12P12G02	E13P13A06	E13P13A11	E13P13B04	E13P13C03	E13P13C04	E13P13C08	E13P13C10	E13P13C11	E13P13D09	E13P13E01	E13P13E07	E13P13E08	E13P13E09	E13P13E11	E13P13F09	E13P13H04	E13P13H09	E14P14D03	E14P14G10	E1P1A03	E1P1A04	E1P1A06	E1P1A07	E1P1A10	E1P1A11	E1P1B03	E1P1B04	E1P1B10	E1P1C07	E1P1C10	E1P1C11	E1P1D03	E1P1D09	E1P1E01	E1P1E04	E1P1E09	E1P1E10	E1P1E11	E1P1F01	E1P1F04	E1P1F09	E1P1F10	E1P1G06	E1P1G09	E1P1G10	E1P1H01	E1P1H03	E1P1H09	E1P1H10	E2P2A03	E2P2C11	E2P2D09	E2P2E01	E2P2E02	E2P2F01	E2P2FO2	E2P2G02	E2P2H01	E3P3A04	E3P3B03	E3P3B04	E3P3C11	E3P3D02	E3P3G02	E3P3G04	E3P3H02	E4P4A06	E4P4A10	E4P4B04	E4P4B10	E4P4C01	E4P4C04	E4P4C07	E4P4C10	E4P4C11	E4P4D01	E4P4D02	E4P4D07	E4P4D09	E4P4D10	E4P4E01	E4P4E03	E4P4E04	E4P4E09	E4P4E10	E4P4E11	E4P4F01	E4P4F09	E4P4F10	E4P4G02	E4P4G09	E4P4G10	E4P4H01	E4P4H07	E4P4H09	E5P5A02	E5P5A03	E5P5A06	E5P5A07	E5P5A08	E5P5A09	E5P5A10	E5P5B03	E5P5B04	E5P5B06	E5P5B10	E5P5B11	E5P5C02	E5P5C03	E5P5C04	E5P5C06	E5P5C07	E5P5C08	E5P5C10	E5P5C11	E5P5D02	E5P5D06	E5P5D09	E5P5D10	E5P5E01	E5P5E02	E5P5E04	E5P5E08	E5P5E09	E5P5E11	E5P5F04	E5P5F08	E5P5F09	E5P5F10	E5P5G03	E5P5G04	E5P5G06	E5P5G08	E5P5H04	E5P5H06	E5P5H08	E5P5H12	E6P6A04	E6P6A05	E6P6A07	E6P6A08	E6P6A10	E6P6A12	E6P6B03	E6P6B04	E6P6B06	E6P6B10	E6P6B12	E6P6C01	E6P6C03	E6P6C04	E6P6C05	E6P6C06	E6P6C07	E6P6C10	E6P6C11	E6P6D03	E6P6D04	E6P6D06	E6P6D07	E6P6D09	E6P6D10	E6P6E04	E6P6E07	E6P6E10	E6P6E11	E6P6F01	E6P6F04	E6P6F07	E6P6F09	E6P6F10	E6P6G02	E6P6G04	E6P6G05	E6P6G06	E6P6G07	E6P6H02	E6P6H03	E6P6H06	E6P6H07	E6P6H10	KO
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	Delftia
ASV_2	11	5	7	13	23	6	8	5	21	9	5	0	2	11	8	5	19	3	4	16	4	6	14	1	7	2	6	728	12	8	6	5	9	4	420	791	12	44	8	2	2	12	7	4	8	4	7	11	8	8	11	11	4	9	0	3	1298	1719	4	11	70	4	100	9	4	549	613	7	103	1044	26	988	14	146	3	5	22	235	106	7	177	226	75	2	189	6	9	8	14	14	138	11	20	13	8	276	11	11	6	9	10	15	9	9	28	3	0	3	4	2	4	1	8	3	6	2	2	0	1	2	1	3	4	2	5	0	2	1	3	0	6	0	0	3	1	2	0	4	4	5	2	3	5	1	1	7	1	6	1	644	62	470	18	15	7	0	9	4	9	1	1	2	5	3	12	5	1	2	2	5	4	7	3	4	3	9	8	5	8	8	22	36	6	3	9	10	3	2	4	3	8	1	6	8	6	4	0	17	4	37	1	3	5	86	3	6	2	1	0	2	2	1	6	1	0	3	14	3	5	8	65	15	15	7	3	33	5	31	2	1	6	5	26	2	3	3	7	Bacillus
ASV_20	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	11	0	2	6	11	0	8	0	1	1	0	0	5	0	1	0	0	20	0	1	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	7	3	0	0	0	1	12	0	2	0	0	0	2	3	29	0	0	0	1	1	0	3	0	0	2	3	1	0	0	1	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus
ASV_21	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus
ASV_22	2	0	2	1	1	0	1	1	0	2	0	0	2	2	0	0	1	1	1	3	1	2	0	0	1	0	0	0	0	0	4	0	0	1	6	0	0	2	0	3	0	0	0	0	2	3	1	2	0	0	0	0	0	1	0	0	1	7	1	0	33	1	25	2	2	0	0	1	2	1	0	0	2	0	0	6	13	25	20	2	27	34	39	1	25	3	5	8	6	4	20	2	4	3	5	51	4	3	2	1	2	1	1	2	17	3	3	0	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	7	13	14	0	1	0	13	1	1	2	0	2	26	3	2	1	0	4	1	3	36	3	0	6	0	1	2	1	1	4	8	0	0	1	2	0	0	1	1	1	3	1	10	1	1	0	1	0	0	0	1	2	0	0	0	6	0	1	1	0	0	0	3	4	2	0	10	3	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	Unassigned
ASV_23	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	1	1	1	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	15	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	17	2	14	0	2	0	23	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	9	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	11	0	2	6	10	1	3	2	2	0	1	0	9	1	1	1	0	13	0	0	4	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	0	1	0	0	0	11	0	0	0	0	0	0	2	18	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacillus
ASV_25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Sphingomonas
ASV_26	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	1	1	0	0	0	1	49	1	0	0	2	1	1	1	1	16	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	30	1	1	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacillus
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Microbacterium
